include,type,ntips,bias,varriance,rmse
all,er,100,1.6755773,90.65746323,9.599409168
all,er,250,0.47183965,15.46734556,3.869676437
all,er,500,0.158891426,2.709188129,1.46154914
all,l0,100,1.647754606,87.83072187,9.453352186
all,l0,250,0.477482024,15.91099908,3.923666777
all,l0,500,0.158568479,2.68766882,1.452967599
all,l1,100,-0.049254148,2.082511034,1.400542429
all,l1,250,0.043701939,1.712623305,1.179586649
all,l1,500,0.044982446,1.209591014,0.860883083
all,l2,100,-0.503932702,0.455568113,0.976496512
all,l2,250,-0.325183539,0.496115897,0.811459769
all,l2,500,-0.205335502,0.494771208,0.641389304
<50,er,100,0.85583551,16.32621919,4.052215581
<50,er,250,0.35694846,5.372149266,2.217713123
<50,er,500,0.149432219,1.889785344,1.152512276
<50,l0,100,0.847825668,15.9475908,4.001751987
<50,l0,250,0.361674836,5.490464495,2.239076412
<50,l0,500,0.149101509,1.869484883,1.142198222
<50,l1,100,-0.049254148,2.082511034,1.400542429
<50,l1,250,0.043701939,1.712623305,1.179586649
<50,l1,500,0.044982446,1.209591014,0.860883083
<50,l2,100,-0.503932702,0.455568113,0.976496512
<50,l2,250,-0.325183539,0.496115897,0.811459769
<50,l2,500,-0.205335502,0.494771208,0.641389304
<10,er,100,0.289772401,3.4096103,1.795743767
<10,er,250,0.199506591,2.208963264,1.353200056
<10,er,500,0.123423237,1.413110789,0.956104132
<10,l0,100,0.285391772,3.389364823,1.793721066
<10,l0,250,0.202638935,2.222426935,1.355412336
<10,l0,500,0.125174187,1.417299,0.958695338
<10,l1,100,-0.060919293,1.950511033,1.360501296
<10,l1,250,0.032567337,1.584062041,1.131062844
<10,l1,500,0.04063185,1.14426681,0.835743005
<10,l2,100,-0.503932702,0.455568113,0.976496512
<10,l2,250,-0.325183539,0.496115897,0.811459769
<10,l2,500,-0.205335502,0.494771208,0.641389304